CVE-ID,Type,Compile?,Run,Exploit?,Build First Error Cause,Run First Error Cause,Exploitabiity Error Cause,Changes to work,Number of changes
CVE-2014-0160,Package,0,0,0,1. No manifest found for Ubuntu 13.03. It does not exist,,,"1. Change image
2. Insert vulnerable package
3. Fix runtime command",3
CVE-2014-0160,Source,0,0,0,"1. Make install has docs dependencies 
2. No certificate ",,,1. Use make install_sw instead of make install,
CVE-2014-6271,Package,1,1,1,1. Invalid image (contain a patched bash version),,,"1. Change the image
2. Take the vulnerable package and compile it (source version) ",3
CVE-2014-6271,Source,1,1,1,,,,,
CVE-2015-3306,Package,1,1,0,,,"1. Fail at SITE CPFR because ProFTPD 1.3.8c did not satisfy vulnerability prerequisites
2. Lack of webserver to properly execute","1. Change runtime base strategy with Debian bullseye building image
2. Compile proftpd 1.3.5 vulnerable
3. Apache and PHP runtime dependencies
4. Add proftpd.conf to allow SITE CFPR
5. Enable ProFTPD and Apache in one container
6. Expose ports ",
CVE-2015-3306,Source,0,0,0,1. Run failed because ProFTPD rejected `UseIPv6` in the default configuration,,1. Exploit failed because FTP and HTTP endpoints were unavailable.,"1. I preserved source compilation and retained ProFTPD 1.3.5 with `mod_copy`.
2. I added Apache and PHP runtime dependencies.
3. I added a custom `proftpd.conf` without incompatible `UseIPv6` directives.
4. I enabled `SITE_CPFR` and `SITE_CPTO` in the custom ProFTPD policy.
5. I added `start.sh` to run ProFTPD and Apache together.
6. I exposed ports 21 and 80, and I ensured `/var/www/html` remained writable.",
CVE-2017-7494,Package,1,1,0,,,"1. SMB SessionError: STATUS_USER_SESSION_DELETED"" during `putFile. The image relied on guest access. The exploit required an authenticated writable session and a valid trigger path.",1. Fix authenticated upload prerequisite for exploit payload`.,
CVE-2017-7494,Source,1,1,0,,,"1. SMB SessionError: STATUS_USER_SESSION_DELETED"" during `putFile. The image relied on guest access. The exploit required an authenticated writable session and a valid trigger path.",1. Fix authenticated upload prerequisite for exploit payload`.,
CVE-2017-7529,Package,1,1,0,,,Lack of vulnerable proxy cache configuration setting in nginx,"1. Enable proxy caching behavior in the proxy (nginx.conf configuration)
2. Fix configuration errors in the nginx ",
CVE-2017-7529,Source,1,1,0,,,"Errors in configuration file. 
Lack of an index.html file ","1. Setup a custom vulnerable nginx configuration file
2. Setup a base index.html file ",
CVE-2017-14849,Package,0,0,0,"1. Build failed with `""E: Version '8.5.0-1nodesource1' for 'nodejs' was not found""`.: Dockerfile pinned an obsolete NodeSource package version unavailable in current repository
",,"1. The variant contained only a Node installation flow and lacked a running HTTP service on port 3000.
","1. Change to a stable 8.5.0 nodejs version
2. To exploit should enable a www server ",
CVE-2017-14849,Source,1,0,0,,1. CMD node -v without running,"1. Exploit failed with `""ConnectionRefusedError: [Errno 111] Connection refused""`.
2. Lack of a static exploitable endpoint required by the exploit script","1. Add EXPOSE PORT 3000
2. Add static folder with working example",
CVE-2017-16082,Package,1,0,0,,1. Database runtime error,1. lack of web app for the exploit (sqlmap),"Runtime
1. Initialize the database
2. Total change of the image
3. Missing application ",
CVE-2017-16082,Source,0,0,0,1. No source entrypoint file specified,,,1. Total,
CVE-2017-17405,Package,1,1,0,,,,,
CVE-2017-17405,Source,1,1,0,,,,,
CVE-2018-3760,Package,1,0,0,,"1. Exit immediately, no webserver",1. Version with package not exploitable,"1. Add blog image webapp
2. install specific vulnerable version using gem install",
CVE-2018-3760,Source,1,0,0,,"1. Exit immediately, no webserver",1. exploit requires a web application,"1. Install webrick
2. Configure web app",
CVE-2018-10933,Package,0,0,0,"1. Fix compilation prequirements for building
2. Lack of Python for compilation. installing toolchain and crypto dependencies required by libssh.
3. keygen not found, install
4. runtime key arguments and key formats were incompatible with the linked libssh parser in this build configuration.
",,,"1. install dependencies
2. install python
3. configure ssh auth setup",
CVE-2018-10933,Source,0,0,0,"1. Fix compilation prequirements for building
2. Lack of Python for compilation. installing toolchain and crypto dependencies required by libssh.
3. keygen not found, install
4. runtime key arguments and key formats were incompatible with the linked libssh parser in this build configuration.
",,,"1. install dependencies
2. install python
3. configure ssh auth setup",
CVE-2018-15473,Package,,,,,,,,
CVE-2018-15473,Source,,,,,,,,
CVE-2019-9193,Package,0,0,0,"1. Repository has not Release file. The Dockerfile used Ubuntu 18.04 and the `bionic-pgdg` repository path no longer provides the required release metadata
2. Unsupported repository configuration prevented PostgreSQL package installation and image creation",,,"1. replaced the base and repository path
2. added runtime service logic ",
CVE-2019-9193,Source,1,1,0,,,"1. Connection to server at ""127.0.0.1"" port 5432 refused. The image command was `CMD [""/bin/bash""]`, so the container exited and no PostgreSQL process listened on TCP port 5432
2. Dockerfile compiled binaries but lacked database initialization, port exposure, and a foreground PostgreSQL startup command","1. Change Entrypoint
2. Fix initialization scripts and expose PORT with interactive script",
CVE-2020-7247,Package,1,0,0,,No smtpd present,E1 - image installed patched OpenSMTPD `6.6.4p1`,"1. Configuration file should be inserted
2. Fix runtime configuration path and required aliases table
E1 - to pin Debian buster, compile OpenSMTPD `6.6.1p1`, ",
CVE-2020-7247,Source,0,0,0,"1 Build failed with `""bison-3.8.2-r1 conflicts: byacc-20230219-r1. Alpine packaged `bison` and `byacc` with conflicting `yacc` providers in one transaction.",,1. Invalid alpine image for building vulnerable opensmtpd version,"1. Fix dependencies to build the package in alpine
2. Change the image to Debian for compiling a vulnerable version",
CVE-2023-38633,Package,1,1,0,,,1. Alpine image invalid,1. Complete refactoring of alpine image to debian,
CVE-2023-38633,Source,1,1,0,,,1. Invalid ubuntu version (latest) with patched ssh version,1. Complete refactoring of alpine image to debian:stretch with vulnerable version,
