CVE-ID,Type,Compile?,Run,Exploit?,Generation success,Build First Error Cause,Run First Error Cause,Exploitabiity Error Cause,Changes to work,Number of changes,Error categories,Impact Score,,,,,,,,,,,,,,,,,,,,,,,
CVE-2017-12617,Compose,1,1,1,,,,"1. No showcase with example
2. invalid struts version",,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-2018-7600,Bundle,0,0,0,,1. Build failed for The repository 'http://deb.debian.org/debian buster Release' does not have a Release file.,,"1. Exploitability failed because requests redirected to `/core/install.php`. Drupal was not installed, so the vulnerable route preconditions were not satisfied at runtime.","1. Fix archived Debian repository resolution for EOL buster base image` and switched APT sources to `archive.debian.org` with `Acquire::Check-Valid-Until ""false""`.
2. Fix runtime precondition by installing Composer and Drush for unattended Drupal bootstrap
3. Fix runtime precondition by exposing Drush in PATH for entrypoint bootstrap checks
4. Fix runtime precondition by installing Drupal before Apache serves requests
5. Add docker-entrypoint.sh to bootstrap SQLite installation on first setup",,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-2018-7600,Compose,0,0,0,,"1.  Failed to fetch http://deb.debian.org/debian/dists/stretch/main/binary-amd64/Packages 404 Not Found. The Dockerfile used end-of-life Debian stretch repositories on active mirrors
2. Build failed with stretch repository fetch failures from active mirrors. Package index resolution targeted obsolete mirror paths for stretch.
3.  Build failed with `E: There were unauthenticated packages and -y was used without --allow-unauthenticated`.","1. Compose bind mounts overrode `/var/www/html/sites`, which removed default installer files from the container filesystem view
2. Run failed with `Fatal error: Uncaught Error: Call to undefined function mysqli_connect(). Missing `mysqli` extension in this runtime image.","1. Exploitability failed because requests redirected to `/core/install.php`. Drupal was not installed, so the vulnerable route preconditions were not satisfied at runtime.
","1. Switch to archive Debian packages
2. add the --allow-unauthenticated flag
3. Archived stretch repositories used expired signatures, so APT rejected package installation.
4. Fix runtime precondition by exposing Drush in PATH for entrypoint bootstrap checks
5. Fix runtime precondition by installing Drupal before Apache serves requests
6. Add docker-entrypoint.sh to bootstrap SQLite installation on first setup
7.  removed Drupal bind mounts from `docker-compose.yaml` to preserve image-provided installation files during startup bootstrap.
8.  Changed the readiness probe in `docker-entrypoint.sh` from `mysqli_connect` to `fsockopen` TCP socket checks.",,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-2019-6340,Bundle,0,0,0,,"1.  Failed to fetch http://deb.debian.org/debian/dists/stretch/main/binary-amd64/Packages 404 Not Found. The Dockerfile used end-of-life Debian stretch repositories on active mirrors. The base image referenced end-of-life Debian repositories that no longer served valid package metadata
2. Build failed with `""drupal.tar.gz: FAILED""` and `""md5sum: WARNING: 1 computed checksum did NOT match""`.","1. Drupal does not start as the mysql service is not initialized
2. Drupal service should wait for mysql service initialization",,"1. Fix Debian archive repositories for EOL buster base image
2. Fix Drupal archive checksum to match published 8.6.9 tarball
3. Mysql should be created and initialized.
4. The exploit should be executed before waiting the complete initialization of the mysql. The drupal container should wait by polling the database to properly work",,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-2019-6340,Compose,0,0,0,,"1. The repository 'http://deb.debian.org/debian buster Release' does not have a Release file. The base image referenced end-of-life Debian repositories that no longer served valid package metadata.
2. Build failed with `""Package 'git' has no installation candidate""`. Required packages were nonessential for runtime and unavailable in the constrained archive configuration","1. Runtime logs showed repeated `""cp: cannot stat 'sites/default/default.settings.php'""`. Compose volume mounts replaced `/var/www/html/sites` with host content lacking `default.settings.php`.
","1. Exploit failed, and logs showed redirects to installation flow because Drupal was uninitialized. ","1. Fix Debian archive repositories for EOL buster base image.
2. Fix build stability by removing nonessential package installation
3. Added Drush and custom entrypoint
4. Added preserved template copy by removing volumes. ",,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-2015-5180,Bundle,1,1,0,,,,"1. The The image installed `hdw-player` instead of `wp-symposium`, so the exploit endpoint `/wp-content/plugins/wp-symposium/server/php/index.php` was absent
2. Database initialization 
3. Wordpress configuration ","1. Change the plugin with the vulnerable version
2. Configure the wordpress database with proper user. 
3. Setup the wordpress configuration file.",,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-2015-5180,Compose,1,1,0,,,,"1. The image installed `hdw-player` instead of `wp-symposium`, so the exploit endpoint `/wp-content/plugins/wp-symposium/server/php/index.php` was absent","1. Change the plugin with the vulnerable version
",,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-2018-3811,Compose,1,1,0,,,,"1. WordPres not installed, redirect to wp-admin/install.php
2. Plugin not activated and invalid plugin permissions","1. Add wp-cli and bootstrap installation using entrypoint.sh
2. Install using wp core install and activate the plugin
",,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-2018-7422,Bundle,0,0,0,,1. Build failure due to unavailable plugin version (unavailable),,,1. Change plugin from 1.1.1 to 1.1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-2018-7422,Compose,0,0,0,,1. Build failed with `End-of-central-directory signature not found` after downloading `site-editor.1.1.1.zip`.,,,1. Change plugin from 1.1.1 to 1.1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
