CVE-ID,Model,Build,Run,Error Annotation,Rationale,ErrorLevel,WES,WES_Category
CVE-2017-6090,Bing,0,0,Build fails at apt-get update due to Debian repository 404 / missing Release files (EOL repo).,Otherwise structurally close to the human approach (PHP+Apache). The Git source is valid (repo exists). The failure is an environment/repo issue fixable locally without major post-fix drift.,1.0,7.0,Build failure
CVE-2017-6090,Gemini,0,0,Build fails at apt-get update because Debian buster repositories return 404 / missing Release files (EOL repo).,"High divergence from human: different base image (Debian instead of PHP-Apache), different runtime model, and dependency strategy. Even after fixing repos, the stack remains substantially misaligned (architecture drift).",3.0,9.0,Build failure
CVE-2017-6090,Gemini3-Pro,0,0,Build fails at apt-get update due to Debian stretch repository 404 / missing Release/Packages (EOL repo).,"Some alignment with human (PHP 5.6 + Apache), but still diverges by relying on a local ZIP COPY and failing on repo setup. The alternative SourceForge download link does not show a direct 404 in our check but redirects to a generic listing page, so external retrieval is not cleanly verified.",2.0,8.0,Build failure
CVE-2017-6090,Gpt3.5,0,0,"Build fails when extracting PhpCollab: unzip is missing (not installed). Also, the referenced GitHub release asset URL is invalid (HTTP 404).",Diverges from the human reference in both dependency provisioning (missing unzip) and artifact sourcing (non-canonical URL that does not exist). This is more than a single local typo.,2.0,8.0,Build failure
CVE-2017-6090,Gpt5.2-Thinking,0,0,Build fails because COPY phpcollab/ /var/www/html/ references a path not present in the build context (file does not exist).,Moderate divergence: assumes a local source bundle instead of fetching like the human Dockerfile. Fix requires changing artifact acquisition strategy or supplying additional build context (not a single-line repo tweak).,2.0,8.0,Build failure
CVE-2017-6090,Gpt5.2-Thinking-Web,1,1,No functional errors: build succeeds and container starts (only Apache ServerName warning). Artifact download is reachable during build.,"Build+run succeed; despite a different artifact source than human, URLs are operational (validated implicitly by successful build). No divergence-induced failure.",0.0,0.0,Perfect
CVE-2019-11600,Bing,0,0,Build fails during apt-get update due to Debian buster repositories being unreachable / missing Release files (exit code 100).,"Strong divergence from the human reference: it switches to building OpenProject from source on a generic Ruby base image (different pipeline, dependency model, and runtime). Even if the repo issue were fixed, the generated workflow remains substantially misaligned.",3.0,9.0,Build failure
CVE-2019-11600,Gemini,0,0,"Build fails when extracting the OpenProject archive: tar reports “stdin: not in gzip format”, indicating the downloaded artifact is not a valid .tar.gz.","Diverges from the human reference by replacing the official image-based approach with a custom “download+extract+build” pipeline. The failure suggests a broken artifact retrieval/format assumption, and the overall pipeline remains far from the human reference even after a minimal fix.",3.0,9.0,Build failure
CVE-2019-11600,Gemini3-Pro,1,1,No functional errors: compose starts and the container is created/attached (only a non-blocking warning about obsolete version in compose).,Operational outcome with no failure. The warning is non-fatal and does not indicate semantic divergence affecting execution.,0.0,0.0,Perfect
CVE-2019-11600,Gpt3.5,0,0,"Build fails during apt-get update due to Debian buster repositories being unreachable / missing Release files (exit code 100). Also, the Dockerfile relies on external OpenProject repository URLs that return HTTP 404 (packager repo + Release key).","Severe divergence from the human approach: instead of using the official OpenProject image, it attempts a repo-based installation path that is currently broken (404 endpoints) and structurally different from the reference. The failure is not a single local patch aligned with the human Dockerfile.",3.0,9.0,Build failure
